first_name,name,call_type,call_year,host_institution,project_acronym,snsf_fis,snsf_grants_before,had_snsf_grants_before,Applicant,ApplicantNumber
Grégoire,COURTINE,StG,2010,Universität Zürich,WALK AGAIN,Applicant Project funding;2009;130850;Combining neurorehabilitative and neuroregenerative strategies to regain motor functions after paralyzing spinal cord injury,1,TRUE,Courtine Grégoire,547850
Nicolai,CRAMER,StG,2010,Eidgenössische Technische Hochschule Zürich,DECCAPAC,Applicant Project funding;2007;119750;Conjugative Sigmatropic Rearrangements as Efficient Methods for Catalytic Asymmetric C-C Bond Formations,1,TRUE,Cramer Nicolai,539570
Gianluca,CRIPPA,StG,2015,Universität Basel,FLIRT,Applicant Project funding;2014;156112;Continuity equations with non smooth velocity: quantitative estimates and applications to nonlinear problems||Applicant Project funding;2011;140232;Continuity equations with non smooth velocity: fluid dynamics and further applications,2,TRUE,Crippa Gianluca,599524
Paolo,CRIVELLI,CoG,2018,Eidgenössische Technische Hochschule Zürich,Mu-MASS,Applicant Project funding;2016;169133;NA64 - Search for Dark Sectors in Missing Energy Events||Applicant Project funding;2016;169145;Division and Classification in Plato and Aristotle||Applicant Project funding;2015;166286;Precision Spectroscopy of Positronium||Co-applicant Project funding;2015;162794;Experimental Particle and Astroparticle Physics Beyond The Standard Model||Applicant Project funding;2014;156756;Precision laser spectroscopy of positronium||Applicant Project funding;2012;143568;Appearance and Knowledge in Classical Greek Philosophy,6,TRUE,Crivelli Paolo,131722
Philippe,CUDRE-MAUROUX,CoG,2015,Université de Fribourg,GraphInt,Co-applicant Sinergia;2013;147609;Crowdsourced conceptualization of complex scientific knowledge and discovery of discoveries||Applicant Project funding;2012;143649;Database Framework for SpatioTemporal Indexing in Clusters (DRASTIC)||Applicant SNSF Professorships;2009;128459;Infrastructures for Community-Based Data Management,3,TRUE,Cudré-Mauroux Philippe,539077
William Arthur,CURTIN,AdG,2013,Ecole Polytechnique Fédérale de Lausanne,PreCoMet,Co-applicant Project funding;2013;150109;Experimental study and atomistic modeling of the deformation induced phase transformations in FeMnSi-based shape memory alloys||Applicant Project funding;2013;149207;Predictive Mechanisms of Hydrogen Embrittlement||Applicant Project funding;2011;140506;Coupled Atomistic/Discrete-Dislocations in 3d (CADD3d),3,TRUE,Curtin William,543184
Veronique,DASEN,AdG,2016,Université de Fribourg,Locus Ludi,"Applicant Interdisciplinary projects;2015;166559;To be a child in Roman Aventicum/Avenches (1th-3rd c. AD): Evidence on health, disease and feeding practices from bioarchaeology and stable isotope analysis||Co-applicant Sinergia;2013;147699;Lactation in History: a crosscultural research on suckling practices, representations of breastfeeding and politics of maternity in a European context||Applicant Project funding;2012;143196;L’enfant en bas âge dans la société grecque antique (VIIIe-IVe s. av. J.-C.) : regards croisés (sources écrites, iconographiques et archéologiques)||Applicant Project funding;2010;132024;Mélampous, ""Lunarium"". Edition, traduction et commentaire||Applicant Project funding;2009;126716;Médecine, hygiène et  santé dans le monde romain||Applicant Project funding;2007;117651;Mélampous ""Sur les prodiges et les signes"". Edition, traduction et commentaire",6,TRUE,Dasen Véronique,6371
Katrien,DE BOCK,StG,2016,Eidgenössische Technische Hochschule Zürich,MusEC,NA,0,FALSE,NA,NA
Camillo,DE LELLIS,StG,2012,Universität Zürich,RAM,Applicant Project funding;2012;146349;Calculus of variations and fluid dynamics||Applicant Project funding;2009;129812;Calculus of variations and fluid dynamics||Applicant Project funding;2008;121894;Singularities in Partial Differential Equations||Applicant Project funding;2005;112009;Singularities in Partial Differential Equations||Applicant Project funding;2004;107567;Geometric measure theory in partial differential equations and calculus of variations,5,TRUE,De Lellis Camillo,515054
Giovanni,DE MICHELI,AdG,2009,Ecole Polytechnique Fédérale de Lausanne,NANOSYS,Applicant Project funding;2009;126517;Guaranteeing Signal and Power Integrity for Three-Dimensional (3-D)||Applicant Project funding;2005;109450;Designing reliable integrated systems with unreliable components,2,TRUE,De Micheli Giovanni,98418
Michele,DE PALMA,CoG,2016,Ecole Polytechnique Fédérale de Lausanne,EVOLVE,Applicant Project funding;2015;165963;DICER control of tumor-associated macrophages||Applicant Project funding;2012;143978;Macrophage regulation of tumor angiogenesis: Role of exosome-derived microRNAs,2,TRUE,De Palma Michele,589303
Christian,DEGEN,StG,2012,Eidgenössische Technische Hochschule Zürich,NANOMRI,"Applicant Project funding;2011;137520;Ultra-sensitive magnetometry with single spins in diamond: Device fabrication, spin manipulation, and application to nanoscale imaging",1,TRUE,Degen Christian,131194
Christoph Georg Fritz,DEHIO,AdG,2013,Universität Basel,FICModFun,"Applicant Project funding;2013;149886;Bacterial Type IV Secretion (T4S): Cellular, Molecular, and Evolutionary Basis of the Subversion of Host Cell Functions by Translocated Effector Proteins||Applicant Project funding;2010;132979;Bacterial Type IV Secretion: Cellular, Molecular, and Evolutionary Basis of the Subversion of Host Cell Functions by Translocated Effector Proteins||Applicant Project funding;2005;109925;Modulation of host cell function by the bacterial type IV secretion process: molecular basis of the translocation and the intracellular effector function of secreted virulence factors||Applicant Project funding;2000;61777;Bartonella spp.: Molecular basis of pathogen-host cell inter- action",4,TRUE,Dehio Christoph,64074
Kristy,DEINER,StG,2019,Eidgenössische Technische Hochschule Zürich,LeDNA,Applicant PRIMA;2018;185696;Global measure of biodiversity by understanding biogeochemical cycling of environmental DNA in lakes,1,TRUE,Deiner Kristy,629163
Emmanouil,DERMITZAKIS,StG,2010,Université de Genève,POPRNASEQ,Applicant Sinergia;2009;130326;The effect of sequence variation on chromatin structure and transcription||Applicant Project funding;2009;130342;Population Genomics of human gene expression using high throughput sequencing||Co-applicant Project funding;2003;102231;Functional analysis of conserved non-genic sequences (CNGs),3,TRUE,Dermitzakis Emmanouil,139619
Michael,DETMAR,AdG,2010,Eidgenössische Technische Hochschule Zürich,LYVICAM,Applicant Project funding;2009;130627;Molecular mechanisms of angiogenesis and lymphangiogenesis in inflammation and cancer progression||Applicant Project funding;2004;108207;The function of podoplanin in tumor progression and lymphangiogenesis,2,TRUE,Detmar Michael,515229
Benoit,DEVEAUD-PLÉDRAN,AdG,2011,Ecole Polytechnique Fédérale de Lausanne,POLARITRONICS,Co-applicant Project funding;2011;137904;Entangled photons out of quantum dot-microcavity systems||Applicant Project funding;2010;135003;Physics of the Ultrafast dynamics of band gap-engineered semiconductor micro- and nanostructures||Applicant Project funding;2009;129715;Ultrafast Optical Spectroscopy of GaN Nanostructures||Applicant Project funding;2008;124476;Excitonic Mott transition in semiconductor quantum wells||Applicant Project funding;2007;119843;Physics of the Ultrafast dynamics of band gap-engineered semiconductor micro- and nanostructures||Applicant Project funding;2007;119840;Ultrafast Optical Spectroscopy of GaN Nanostructures||Applicant Project funding;2006;113611;Physics of the ultrafast response of semiconductor optical amplifiers||Applicant Project funding;2005;112268;Excitonic Mott transition in semiconductor quantum wells||Applicant Project funding;2004;107612;Physics of the Ultrafast dynamics of band gap-engineered semiconductor micro- and nanostructures||Applicant Project funding;2004;105355;Physics of the ultrafast response of semiconductor optical amplifiers||Applicant Project funding;2002;100160;Picosecond dynamics of two dimensional excitons and plasmas in high magnetic fields.||Co-applicant Project funding;2002;100163;Dynamique des excitations électroniques dans un fil moléculaire polymère (polydiacetylene)||Applicant Project funding;2002;68007;Physics of the ultrafast response of semiconductor optical amplifiers||Applicant Project funding;2001;66837;Physics of the Ultrafast dynamics of band gap-engineered semiconductor micro- and nanostructures||Applicant Project funding;2000;63805;Picosecond dynamics of two dimensional excitons and plasmas in high magnetic fields.||Co-applicant Project funding;2000;63726;Luminescence dynamics of red polydiacetylenes chains isolated in their crystalline monomer matrix||Applicant Project funding;1999;59137;Physics of the ultrafast response of semiconductor optical amplifiers||Co-applicant Project funding;1999;56822;Picosecond radiative properties of two-dimensional excitons magnetic fields||Applicant Project funding;1998;55633;Physics of the Ultrafast dynamics of band gap-engineered semiconductor micro- and nanostructures,19,TRUE,Deveaud Benoit,57686
Piotr,DIDYK,StG,2018,Università della Svizzera Italiana,PERDY,NA,0,FALSE,NA,NA
François Nico,DIEDERICH,AdG,2009,Eidgenössische Technische Hochschule Zürich,OPTELOMAC,"Applicant Project funding;2008;124337;Supramolecular Systems: Containers, Switches, Chiral Devices||Applicant Project funding;2008;124336;Molecular Recognition Studies with Designed Enzyme Inhibitors: Deciphering the Ligand-Binding Properties of New Anti-Malarial Targets||Applicant Project funding;2005;111533;Supramolecular Functional Materials: Fullerenes and Switches||Applicant Project funding;2002;100074;Covalent and Supramolecular Fullerene Chemistry for the Preparation of Advanced Materials||Applicant Project funding;2000;63316;Covalent and supramolecular fullerene chemistry for the preparation of advanced materials||Applicant National Research Programmes (NRPs);1999;57475;Molecular recognition and dynamic studies at the single molecule level: mecanoreceptors and molecular grippers||Applicant Project funding;1998;55139;Covalent and supramolecular fullerene chemistry for the preparation of advanced materials||Co-applicant Project funding;1998;54065;Electronic structure and properties of large systems",8,TRUE,Diederich François,45573
Petra Stephanie,DITTRICH,StG,2007,Eidgenössische Technische Hochschule Zürich,NMU‐LIPIDS,NA,0,FALSE,NA,NA
Fiona,DOETSCH,AdG,2017,Universität Basel,NeuroStemCircuit,Applicant Project funding;2015;163088;Regulation and lineage dynamics of adult neural stem cells,1,TRUE,Doetsch Fiona,653393
Ivan,DOKMANIC,StG,2019,Ecole Polytechnique Fédérale de Lausanne,SWING,NA,0,FALSE,NA,NA
Daniela,DOMEISEN,StG,2019,Eidgenössische Technische Hochschule Zürich,HEATforecast,Applicant SNSF Professorships;2016;170523;Improving the Prediction of Sub-seasonal to Seasonal Weather and Climate - From Theory to Application,1,TRUE,Domeisen Daniela,606782
Flavio,DONATO,StG,2019,Universität Basel,INFANT MEMORIES,NA,0,FALSE,NA,NA
Gian-Paolo,DOTTO,AdG,2013,Université de Lausanne,ECAP,Co-applicant Project funding;2013;152875;Role of cancer-associated fibroblasts in head and neck cancer invasion and local recurrence||Applicant Project funding;2011;138653;Control of Notch1 Gene Transcription in skin homeostasis and carcinogenesis||Co-applicant Project funding;2010;135766;TLR4 as a negative regulator of keratinocyte proliferation||Applicant Sinergia;2009;130576;miRNAs as integrative determinants of the keratinocyte response to UVB.||Applicant Project funding;2008;122281;Notch signaling as a key determinant of Epithelial-Mesenchymal interactions in the skin||Applicant Project funding;2003;102212;La calcineurine dans le contrôle de la croissance-différenciation,6,TRUE,Dotto Gian-Paolo,128434
Denis,DUBOULE,AdG,2008,Ecole Polytechnique Fédérale de Lausanne,SystemsHox.ch,Applicant Project funding;2008;122008;Hox genes and the molecular bases of vertebrate development||Applicant Project funding;2003;102277;Hox genes and the molecular basis of vertebrate development||Co-applicant Project funding;2000;62010;Culture of human embryonic stem cells and differentiation toward cardiac myocytes and hematopoietic cells||Applicant Project funding;1998;53527;Hox genes and the molecular basis of vertebrate development,4,TRUE,Duboule Denis,49463
Drazen,DUJIC,CoG,2018,Ecole Polytechnique Fédérale de Lausanne,EMPOWER,Applicant Project funding;2015;165566;Solid State Resonant Conversion||Co-applicant National Research Programmes (NRPs);2014;154040;Integration of Intermittent Widespread Energy Sources in Distribution Networks: Storage and Demand Response,2,TRUE,Dujic Drazen,639233
Xavier,DUMUSQUE,StG,2019,Université de Genève,SCORE,NA,0,FALSE,NA,NA
Raimund,DUTZLER,AdG,2013,Universität Zürich,AnoBest,"Applicant Project funding;2011;141180;Regulatory mechanisms in CLC proteins and pentameric ligand-gated ion channels||Applicant Project funding;2008;124799;Mechanisms of ion transport: ClC channels and transporters and pentameric ligand gated ion channels||Applicant Project funding;2003;104186;Structure, Function and Pharmacology of CIC Chloride Channels",3,TRUE,Dutzler Raimund,63332
Dieter,EBERT,AdG,2010,Universität Basel,MicrobiotaEvolution,"Applicant Project funding;2009;131079;Processes and genetic mechanisms of host-parasite coevolution||Applicant Project funding (special);2009;132783;STRESSFLEA: How to live in a mosaic of STRESSors - an ecological genomics approach on the water FLEA (09-EuroEEFG-FP-040)Daphnia||Applicant Project funding;2006;116029;Processes and mechanisms of antagonistic host-parasite coevolution||Co-applicant Project funding;2001;65003;Biotic interactions and the maintenance of a Daphnia hybrid species complex||Applicant Project funding;2001;64867;Host-parasite coevolution, virulence and the maintenance of genetic diversity||Applicant Project funding;1998;53595;The role of virulence and genetic diversity in the evolution of hosts and parasites",6,TRUE,Ebert Dieter,19872
Jean-Pierre,ECKMANN,AdG,2011,Université de Genève,BRIDGES,Applicant Project funding;2011;137598;Mathematical problems at the limits of understanding||Applicant Project funding;2008;124398;Mathematical problems at the limits of understanding||Applicant Project funding;2005;111542;Fundamental Theoretical Physics||Co-applicant Project funding;2003;101520;Fundamental Theoretical Physics||Co-applicant Project funding;2001;64831;Fundamental Theoretical Physics||Co-applicant Project funding;1999;56931;Fundamental Theoretical Physics,6,TRUE,Eckmann Jean-Pierre,9413
Marloes,EEFTENS,StG,2019,Schweizerisches Tropen- und Public Health- Institut,EPOCHAL,Applicant Ambizione;2018;185864;Effects of airborne pollen on cardiorespiratory health and allergic symptoms,1,TRUE,Eeftens Marloes,632178
David,EHRENREICH,CoG,2016,Université de Genève,FOUR ACES,Co-applicant Project funding;2016;169688;Density of extrasolar planets,1,TRUE,Ehrenreich David,683227
Maximilian Y.,EMMERT,StG,2019,Universität Zürich,TAVI4Life,NA,0,FALSE,NA,NA
Philipp,ENGEL,StG,2016,Université de Lausanne,MicroBeeOme,Applicant Project funding;2014;160345;Symbiotic roles of the honey bee gut microbiota||Applicant Ambizione;2013;148264;Functional characterization of microbial symbioses in the honey bee gut microbiota,2,TRUE,Engel Philipp,586822
Matthias,ERB,StG,2016,Universität Bern,PERVOL,"Co-applicant Sinergia;2015;160786;Sugar wars: Glucose-mediated activation, neutralization and re-activation of defensive metabolites in a soil tritrophic system||Applicant Project funding;2013;153517;Latex secondary metabolites as determinants of root-herbivore foraging in nature",2,TRUE,Erb Matthias,555181
Rolf,ERNI,CoG,2015,Eidgenössische Materialprüfungs- und Forschungsanstalt,CLUSTER,Applicant Project funding;2012;147105;Atomic EELS: from Experiment to Theory||Applicant Project funding;2010;134571;Carbon-Nanotube/Metal Interfaces: Tailoring and characterization of low resistance contacts for advanced electronics||Co-applicant Project funding;2010;132377;Role of nano-scale inhomogeneities in chalcogenide absorbers of thin film solar cells,3,TRUE,Erni Rolf,105641
Tilman,ESSLINGER,AdG,2009,Eidgenössische Technische Hochschule Zürich,SQMS,Applicant Project funding;2008;122106;Fermi gases in optical lattices: from a mott insulator to an antiferromagnet||Applicant Project funding;2006;113661;Mixtures of bosonic and fermionic atoms in optical lattices||Applicant Project funding;2004;105377;Strongly interacting fermionic atoms in low dimensions||Applicant Project funding;2002;67728;BCS-type phase transition in a gas of fermionic atoms in an optical lattice,4,TRUE,Esslinger Tilman,133902
Sara Irina,FABRIKANT,AdG,2016,Universität Zürich,GeoViSense,Applicant Project funding;2014;156072;EMOtive: Affective and effective visual analytics displays||Co-applicant Project funding;2014;156136;Mapping Worldmaps - Klassifikation der gestalterischen und konstruktiven Parameter von Weltkarten||Co-applicant Project funding;2013;149670;Vision to visualization: Improving computational and human performance with highly realistic three-dimensional geographic visualizations by means of biomimicry (VISDOM)||Applicant Project funding;2011;137647;Geographic relevance in mobile applications (GeoRel II)||Applicant Project funding;2010;134646;AniMOVE: animated visual analytics of movement||Co-applicant Project funding;2010;132805;Development and Implementation of Geofoveation (GeoF II)||Applicant Project funding;2009;126657;POPEye II: Visual Analytic of spatio-temporal gaze Point Patterns Eye movements||Co-applicant Project funding;2007;120434;Development and Implementation of Geofoveation (GeoF)||Co-applicant Project funding;2007;119819;Geographic relevance in mobile applications||Applicant Project funding;2006;113745;POPEye: Visual Analytics of spatio-temporal gaze Point Patterns in Eye movements,10,TRUE,Fabrikant Sara Irina,528363
Jerome,FAIST,AdG,2013,Eidgenössische Technische Hochschule Zürich,MUSiC,Applicant Project funding;2013;152962;Quantum cascade laser frequency combs||Co-applicant Project funding;2013;149294;Tensile strained Ge laser for Si-based opto-electronics||Applicant Project funding;2012;144117;Optically-driven electron pumps based on self-assembled and patterned quantum dots||Applicant Project funding;2011;140463;THz photonics and polaritonics||Co-applicant Project funding;2011;138220;Gain and coherence in semiconductor quantum well systems||Applicant Project funding;2010;132034;Optically-driven electron pump||Co-applicant Project funding;2009;130181;Tensile strained Ge laser for Si-based opto-electronics||Applicant Project funding;2009;129823;Gain measurements and circuit based terahertz quantum cascade structures||Applicant Project funding;2006;116749;Gain dynamics in strongly confined structures||Co-applicant Project funding;2006;116718;Gain and coherence in semiconductor quantum well systems||Co-applicant Project funding;2004;107864;Intersubband quantum cascade laser in the Si/SiGe material system||Applicant Project funding;2004;107758;Non-conventional gain mechanisms in intersubband transitions||Applicant Project funding;2002;100459;Non-conventional gain mechanisms in intersubband transitions||Co-applicant Project funding;2001;66986;Intersubband quantum cascade laser in the Si/SiGe material system||Applicant Project funding;2000;63493;Growth and physics of intersubband light emitters||Applicant Project funding;1998;55758;Physics of intersubband light emitters||Co-applicant Project funding;1998;55639;Intersubband excitations in nanostructured electron/ hole systems based on the Si/SiGe material system,17,TRUE,Faist Jérôme,32944
Georg Ernest,FANTNER,StG,2012,Ecole Polytechnique Fédérale de Lausanne,NaMic,Applicant Interdivisional projects;2010;134786;Measuring the interaction of antimicrobial peptides with bacterial cell surfaces in real time with nanometer resolution using high speed AFM,1,TRUE,Fantner Georg,584617
Ernst,FEHR,AdG,2011,Universität Zürich,FEP,"Applicant Project funding;2011;140734;Die Verteilung und die Determinanten von Sozialen Präferenzen||Co-applicant Project funding;2009;130127;The Social Dynamics of Normative Behavior: Population Fragmentation and Divergent Cultural Evolution||Co-applicant Interdisciplinary projects;2008;124534;Vertrauen verstehen. Grundlagen, Formen und Grenzen des Vertrauens||Co-applicant Project funding;2007;117763;Behavioral response to catecholamine depletion in patients with bulimia nervosa off medication and healthy controls||Applicant Interdivisional projects;2006;114107;The Foundations of Human prosociality: Social preferences in marmosets, chimpanzees, and humans||Applicant Project funding;2003;103898;Der Einfluss von Verlustaversion und sozialen Präferenzen auf ökonomische Anreize||Applicant Project funding;2002;67751;Die Oekonomie und Psychologie von Anreizen.",7,TRUE,Fehr Ernst,66883
Kathrin Barbara,FENNER,CoG,2013,Eidgenössische Anstalt für Wasserversorgung Abwasserreinigung und Gewässerschutz,PROduCTS,Applicant Interdisciplinary projects;2013;149711;Next-generation environmental biotransformation pathway prediction system - NGE-PPS||Applicant Interdisciplinary projects;2011;140698;Can community transcription profiles be used to predict environmental biotransformation of organic contaminants?||Applicant Project funding;2010;134677;Improving structure-biodegradation relationships to predict products and rates of aerobic biotransformation of organic micropollutants,3,TRUE,Fenner Kathrin,527930
Andreas,FICHTNER,StG,2016,Eidgenössische Technische Hochschule Zürich,CSEM,Applicant Project funding;2013;149143;Full waveform ambient seismic noise inversion,1,TRUE,Fichtner Andreas,622773
Manfred,FIEBIG,AdG,2015,Eidgenössische Technische Hochschule Zürich,INSEETO,Co-applicant Project funding;2013;152913;Strain-tuned ferroic functionality in CuO at elevated temperatures||Applicant Project funding;2013;149192;Functional active defects in condensed-matter systems||Applicant Sinergia;2013;147606;Toroidal moments and magnetic monopoles as complementary condensed-matter states||Applicant Project funding;2012;147080;Light-matter interaction in systems with strong electronic correlations,4,TRUE,Fiebig Manfred,565470
Beat,FIERZ,CoG,2016,Ecole Polytechnique Fédérale de Lausanne,chromo-SUMMIT,Applicant Project funding;2016;173169;Unraveling hierarchical chromatin dynamics and pioneer transcription factor interaction dynamics by smFRET||Applicant Project funding;2013;149789;Chromatin: A Dynamic Platform for Protein-Protein Interactions||Applicant SNSF Professorships;2011;139002;Investigating the Dynamics and Function of the Histone Modification Landscape,3,TRUE,Fierz Beat,502599
Alessio,FIGALLI,CoG,2016,Eidgenössische Technische Hochschule Zürich,RSPDE,NA,0,FALSE,NA,NA
Damir,FILIPOVIC,StG,2012,Ecole Polytechnique Fédérale de Lausanne,POLYTE,NA,0,FALSE,NA,NA
Hubertus,FISCHER,AdG,2008,Universität Basel,MATRICs,Co-applicant Project funding;2008;125116;Klima- und Umweltphysik,1,TRUE,Fischer Hubertus,545805
Barbara,FLUECKIGER,AdG,2014,Universität Zürich,Filmcolors,"Co-applicant Project funding;2011;140401;Analog/Digital -  Die emotionale Wirkung von Filmaufnahmeverfahren auf das Kinopublikum||Applicant Project funding;2010;134702;Filmgeschichte Re-Mastered. Memopolitische, ästhetische und wahrnehmungstheoretische Konsequenzen der digitalen Medientransition.",2,TRUE,Flückiger Barbara,78007
Anna,FONTCUBERTA I MORRAL,StG,2009,Ecole Polytechnique Fédérale de Lausanne,UPCON,Applicant Project funding;2009;129775;Direct correlation between structure and optical properties of single nanowires||Applicant Project funding;2008;121758;Catalyst-free direct doping of MBE grown III-V nanowires,2,TRUE,Fontcuberta i Morral Anna,546880
Laszlo,FORRO,AdG,2014,Ecole Polytechnique Fédérale de Lausanne,PICOPROP,"Applicant Project funding;2014;160169;Vertically aligned carbon nanotube composites for selective current collectors||Applicant Project funding;2014;156981;Application of Synchrotron-based Fourier Transform Infrared Microspectroscopy||Co-applicant Project funding;2014;156012;Crystal growth, structural and physical investigations of novel superconductors and related compounds.||Applicant Project funding;2013;149833;Exploring Superconductivity by Strain,  Substitutions and Field Effect Studies||Applicant Project funding;2012;144419;Electron Spin Resonance Study of Organic Conductors||Co-applicant Project funding;2012;143703;Diffusion at functional surfaces||Co-applicant Sinergia;2012;141962;Mott Physics Beyond the Heisenberg Model in Iridates and Related Materials||Co-applicant Project funding;2011;140557;Carbon Nanostructures - SU8 Composites: Synthesis, Characterisation and Device Application||Co-applicant Project funding;2011;140760;Crystal growth, structural and physical investigations of novel superconductors and related compounds||Co-applicant Project funding;2011;138053;High pressure transport study of bad metals: thermoelectric power||Applicant Interdivisional projects;2011;138306;Application of Synchrotron-based Fourier Transform Infrared Microspectroscopy||Co-applicant Project funding;2010;134994;Synthesis, structural and physical investigations of novel superconductors and III-V ternary nitrides||Co-applicant Project funding;2009;126945;Brownian Motion in Viscoelastic Confinement||Applicant National Research Programmes (NRPs);2009;1126126;New hybrid carbon nanotubes-oxides materials for energy related applications||Applicant Interdivisional projects;2008;125299;Toxicity study of nanostructures||Applicant Project funding;2008;124723;Electron Spin Resonance study of organic conductors||Applicant Project funding;2008;121814;Synthesis and characterization of Carbon Nanotubes-Functional Polymers Composites for MEMS amd Microfluidic Applications||Applicant Project funding;2007;117742;High Pressure Transport Study of Bad Metals||Applicant Project funding;2006;113723;Fabrication and characterization of random networks of CNTs for FET applications||Applicant Project funding;2006;113399;Electron Spin Resonance study of organic conductors||Applicant Project funding (special);2005;112383;IMPRESS: Intra-Molecular Propagation of Electron Spin States||Applicant Interdivisional projects;2005;112164;Biomolecules under stress: ESR in vitro study||Co-applicant Project funding;2004;105484;Fabrication and characterization of macroscopic fibers of CNTs and thin films of random networks of CNTs for FET applications||Applicant Project funding;2004;105457;Electron Spin Resonance study of organic conductors||Applicant Project funding;2003;101998;High Pressure Transport Study of Bad Metals||Applicant Interdivisional projects;2001;67075;From Molecules to Proteins: an Electron Spin Resonance Study||Applicant Project funding;2001;67093;Electron Spin Resonance study of the magnetic properties of the two-dimensional electron gas of a fullerene-based Field Effect Transistor||Applicant Project funding;2000;61629;High Pressure Transport Study of Bad Metals||Applicant Project funding;2000;61534;Structural and electronic properties of catalytically grown carbon nanotubes||Applicant Project funding;1999;59280;Transport and magnetic properties of fullerenes and related carbon nanostructures",30,TRUE,Forro Laszlo,37039
Christina,FRAGOULI,StG,2009,Ecole Polytechnique Fédérale de Lausanne,NOWIRE,Applicant SNSF Professorships;2005;110483;Information Flow and Management in Resource Constrained Networks,1,TRUE,Fragouli Christina,513068
Holger,FRAUENRATH,StG,2009,Ecole Polytechnique Fédérale de Lausanne,ORGELNANOCARBMATER,"Applicant Project funding;2009;129712;Hierarchically Structured Materials from Poly(isobutylene)-Oligopeptide Conjugates||Applicant Project funding;2008;121812;Optoelectronically Active Materials and Functional Graphite nanostructures from ologopeptide-Substituted Conjugated Molecules||Applicant Project funding;2006;113509;Functional, Carbon-Rich, Nanostructured Materials for Applications at the Interface of Optoelectronics and the Biosciences",3,TRUE,Frauenrath Holger,518925
Ian,FREW,StG,2010,Universität Zürich,Kidney Cancer,Applicant SNSF Professorships;2009;128257;Molecular mechanisms underlying kidney epithelial cell proliferative diseases,1,TRUE,Frew Ian,559949
Beate,FRICKE,CoG,2017,Universität Bern,Global Horizons,NA,0,FALSE,NA,NA
Rainer,FRIEDRICH,AdG,2016,Friedrich Miescher Institute for Biomedical Research,MCircuits,Applicant Project funding;2016;172925;Bottom-up and top-down neuronal computations in olfaction||Applicant Project funding;2013;152833;Computational functions of inhibitory neuronal circuits||Applicant Project funding;2010;135196;Elementary computational functions of inhibitory neuronal circuits||Co-applicant Sinergia;2009;130470;Neural Circuit Reconstruction,4,TRUE,Friedrich Rainer,544272
Pascal,FUA,AdG,2009,Ecole Polytechnique Fédérale de Lausanne,MicroNano,Co-applicant Sinergia;2009;130470;Neural Circuit Reconstruction||Applicant Project funding;2009;129495;Motion Models for Monocular People Tracking||Co-applicant Project funding;2009;126920;Training Embedded Visions Systems||Co-applicant Sinergia;2009;127456;Understanding Brain morphogenesis: Computer Vision Morphological Feature Extraction and||Applicant Project funding;2009;126524;Modeling Deformable 3-D Surfaces from Video||Co-applicant Project funding;2008;124728;View Sets for 3-D Object Detection and Recognition||Co-applicant Sinergia;2008;122696;Aerial Crowds: Populating Mixed Reality Cities||Applicant Project funding;2008;121737;Automating Delineation of Dendritic Networks in Noisy Image Stacks||Applicant Project funding;2007;119754;Motion Models for Monocular People Tracking||Co-applicant Project funding;2007;117997;Training embedded vision systems||Co-applicant Project funding;2006;116195;View Sets for 3-D Object Detection and Recognition||Co-applicant Project funding;2006;113572;Virtual Animation of Real Scenes||Applicant Project funding;2006;113279;Modeling Deformable 3-D Surfaces from Video||Applicant Project funding;2005;111676;Motion Models for Monocular People Tracking||Co-applicant Project funding;2004;107591;View Sets for 3-D Object Detection||Co-applicant Project funding;2004;105543;Virtual Animation of Real Scenes||Co-applicant Project funding;2004;105880;Outcome evaluation in orthopaedic surgery based on motor coordination and image synthesis of daily physical activity||Applicant Project funding;2003;101452;Motion Models for Monocular People Tracking||Co-applicant Project funding;2001;66722;Virtual Animation of Real Scenes||Applicant Project funding;2001;65006;Realistic human body modeling from video sequences||Co-applicant Project funding;2001;64951;Analysis and image synthesis of daily physical activity using kinematic sensors: A new method for outcome evaluation in orthopedic surgery.||Co-applicant Project funding;1999;57075;Virtual Animation of Real Scenes||Applicant Project funding;1999;56889;Realistic human body modeling from video sequences,23,TRUE,Fua Pascal,85917
Martin,FUSSENEGGER,AdG,2012,Eidgenössische Technische Hochschule Zürich,ProNet,"Applicant Project funding;2008;126022;Center of excellence for design and implementation of therapeutic transgene control systems||Co-applicant Project funding;2008;122273;Characterization, evaluation and cell fate in vivo analysis of fetal stem cells used for cardiovascular tissue engineering applications||Co-applicant Project funding;2006;113818;Development of cell-based therapies for myocardial defects||Applicant Project funding;2005;112549;Center of excellence for design and implementation of therapeutic transgene control systems||Applicant SNSF Professorships;2001;65946;Improving Human Therapy By Novel Heterologous Gene Regulation Systems",5,TRUE,Fussenegger Martin,129617
Frédéric,GACHON,StG,2010,Université de Lausanne,CircaTrans,Applicant Project funding;2009;129940;Influence of circadian clock-coordinated post-transcriptional regulations on mouse liver metabolism,1,TRUE,Gachon Frédéric,130240
Sebastien,GAGNEUX,StG,2012,Schweizerisches Tropen- und Public Health- Institut,EVODRTB,Applicant SNSF Professorships;2007;119205;Integrating Genomic and Ecologic Approaches to Understand the Nature and Consequence of Genetic Diversity in Mycobacterium tuberculosis,1,TRUE,Gagneux Sebastien,129878
